Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
0;MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True);0.7447489489;0;0;0;('ROOT',);1
1;GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.1));0.6395281281;0;0;0;('ROOT',);2
2;GaussianNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False));0.6385287287;0;0;0;('ROOT',);2
3;GaussianNB(input_matrix);0.7445489489;0;0;0;('ROOT',);1
4;GaussianNB(PCA(input_matrix, PCA__iterated_power=2, PCA__svd_solver=randomized));0.7451483483;0;0;0;('ROOT',);2
5;GaussianNB(CombineDFs(input_matrix, input_matrix));0.6395281281;0;0;0;('ROOT',);1
6;MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False);0.6385287287;0;0;0;('ROOT',);1
7;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=1, DecisionTreeClassifier__min_samples_leaf=7, DecisionTreeClassifier__min_samples_split=10);0.7447489489;0;0;0;('ROOT',);1
8;LogisticRegression(input_matrix, LogisticRegression__C=1.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0.7447489489;0;0;0;('ROOT',);1
9;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=15);0.7453487487;0;0;0;('ROOT',);1
10;KNeighborsClassifier(BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=True), KNeighborsClassifier__n_neighbors=50, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7443487487;0;0;0;('ROOT',);2
11;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=4, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7387463463;0;0;0;('ROOT',);1
12;KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=45, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7469491491;0;0;0;('ROOT',);2
13;GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.25));0.6395281281;0;0;0;('ROOT',);2
14;BernoulliNB(MaxAbsScaler(input_matrix), BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=False);0.6395281281;0;0;0;('ROOT',);2
15;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=97, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7493507508;0;0;0;('ROOT',);1
16;KNeighborsClassifier(Normalizer(input_matrix, Normalizer__norm=l1), KNeighborsClassifier__n_neighbors=94, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0.7441483483;0;0;0;('ROOT',);2
17;GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.7000000000000001));0.6395281281;0;0;0;('ROOT',);2
18;KNeighborsClassifier(Normalizer(input_matrix, Normalizer__norm=max), KNeighborsClassifier__n_neighbors=26, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0.7441483483;0;0;0;('ROOT',);2
19;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=9, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7293457457;0;0;0;('ROOT',);1
20;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7449459459;0;0;0;('ROOT',);1
21;MultinomialNB(input_matrix, MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=True);0.7447489489;0;0;0;('ROOT',);1
22;KNeighborsClassifier(RobustScaler(input_matrix), KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7527507508;0;0;0;('ROOT',);2
