Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
0;DecisionTreeClassifier(Binarizer(input_matrix, Binarizer__threshold=0.2), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=1, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=3);0.7379475475;0;0;0;('ROOT',);2
1;KNeighborsClassifier(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.001), KNeighborsClassifier__n_neighbors=98, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7367483483;0;0;0;('ROOT',);2
2;BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=True);0.7381479479;0;0;0;('ROOT',);1
3;GaussianNB(MinMaxScaler(input_matrix));0.7371479479;0;0;0;('ROOT',);2
4;MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True);0.7379475475;0;0;0;('ROOT',);1
5;MultinomialNB(MinMaxScaler(input_matrix), MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=True);0.7379475475;0;0;0;('ROOT',);2
6;LogisticRegression(input_matrix, LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0.7379475475;0;0;0;('ROOT',);1
7;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=52, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7371481481;0;0;0;('ROOT',);1
8;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=8);0.7375483483;0;0;0;('ROOT',);1
9;KNeighborsClassifier(Binarizer(input_matrix, Binarizer__threshold=0.2), KNeighborsClassifier__n_neighbors=25, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0.7409491491;0;0;0;('ROOT',);2
10;MultinomialNB(input_matrix, MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6437287287;0;0;0;('ROOT',);1
11;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=19, DecisionTreeClassifier__min_samples_split=5);0.7375483483;0;0;0;('ROOT',);1
12;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=14, DecisionTreeClassifier__min_samples_split=11);0.7355491491;0;0;0;('ROOT',);1
13;KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=46, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0.7357477477;0;0;0;('ROOT',);2
14;BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=True);0.7381479479;0;0;0;('ROOT',);1
15;MultinomialNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=18), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6449291291;0;0;0;('ROOT',);2
16;DecisionTreeClassifier(SelectPercentile(input_matrix, SelectPercentile__percentile=28), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=9, DecisionTreeClassifier__min_samples_split=10);0.7379475475;0;0;0;('ROOT',);2
17;BernoulliNB(input_matrix, BernoulliNB__alpha=0.001, BernoulliNB__fit_prior=False);0.6449291291;0;0;0;('ROOT',);1
18;DecisionTreeClassifier(RobustScaler(input_matrix), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=17, DecisionTreeClassifier__min_samples_split=10);0.7375483483;0;0;0;('ROOT',);2
19;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=7);0.7375483483;0;0;0;('ROOT',);1
20;MultinomialNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=4, DecisionTreeClassifier__min_samples_leaf=7, DecisionTreeClassifier__min_samples_split=7), MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=True);0.7335483483;0;0;0;('ROOT',);2
21;KNeighborsClassifier(StandardScaler(input_matrix), KNeighborsClassifier__n_neighbors=79, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7345483483;0;0;0;('ROOT',);2
22;MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True);0.7379475475;0;0;0;('ROOT',);1
23;MultinomialNB(input_matrix, MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6437287287;0;0;0;('ROOT',);1
24;MultinomialNB(FeatureAgglomeration(input_matrix, FeatureAgglomeration__affinity=euclidean, FeatureAgglomeration__linkage=ward), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6437287287;0;0;0;('ROOT',);2
25;GaussianNB(input_matrix);0.7371479479;0;0;0;('ROOT',);1
26;MultinomialNB(FeatureAgglomeration(input_matrix, FeatureAgglomeration__affinity=euclidean, FeatureAgglomeration__linkage=ward), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True);0.7379475475;0;0;0;('ROOT',);2
27;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=1, DecisionTreeClassifier__min_samples_split=11);0.7375483483;0;0;0;('ROOT',);1
28;BernoulliNB(input_matrix, BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=True);0.7381479479;0;0;0;('ROOT',);1
