Iteration;Cross_Validation_Performance;ML_Algorithms_and_Parameters;generation;mutation;crossover;predecessor;operator
0;0.7491481481;GaussianNB(StandardScaler(input_matrix));0;0;0;('ROOT',);2
1;0.7415483483;LogisticRegression(MultinomialNB(input_matrix, MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=True), LogisticRegression__C=20.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0;0;0;('ROOT',);2
2;0.7491481481;GaussianNB(input_matrix);0;0;0;('ROOT',);1
3;0.7415483483;MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=True);0;0;0;('ROOT',);1
4;0.7505489489;KNeighborsClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.024), KNeighborsClassifier__n_neighbors=94, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0;0;0;('ROOT',);2
5;0.7445487487;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=24, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0;0;0;('ROOT',);1
6;0.7431481481;BernoulliNB(input_matrix, BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=True);0;0;0;('ROOT',);1
7;0.7387475475;KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=27, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0;0;0;('ROOT',);2
8;0.7415483483;MultinomialNB(input_matrix, MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=True);0;0;0;('ROOT',);1
9;0.7471487487;KNeighborsClassifier(BernoulliNB(input_matrix, BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=True), KNeighborsClassifier__n_neighbors=46, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0;0;0;('ROOT',);2
10;0.7463477477;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=43, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0;0;0;('ROOT',);1
11;0.6483369369;BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False);0;0;0;('ROOT',);1
12;0.7505489489;DecisionTreeClassifier(MaxAbsScaler(input_matrix), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=18, DecisionTreeClassifier__min_samples_split=19);0;0;0;('ROOT',);2
13;0.7491481481;GaussianNB(RobustScaler(input_matrix));0;0;0;('ROOT',);2
14;0.7505489489;DecisionTreeClassifier(ZeroCount(input_matrix), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=20, DecisionTreeClassifier__min_samples_split=14);0;0;0;('ROOT',);2
15;0.6483369369;MultinomialNB(LogisticRegression(input_matrix, LogisticRegression__C=5.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0;0;0;('ROOT',);2
